date,merchant,category,amount,payment_method
2026-06-03 10:45:00,Netflix,subscriptions,649,Credit Card
2026-06-03 12:13:00,Swiggy,food_delivery,70,Credit Card
2026-06-03 16:09:00,Mamaearth,beauty,171,Credit Card
2026-06-03 20:05:00,Nykaa,beauty,419,Debit Card
2026-06-03 22:39:00,Myntra,clothing,823,UPI
2026-06-03 22:53:00,Ola,transportation,68,UPI
2026-06-04 08:13:00,Zomato,food_delivery,87,UPI
2026-06-04 09:45:00,Nykaa,beauty,362,Credit Card
2026-06-04 15:41:00,Swiggy,food_delivery,116,Credit Card
2026-06-04 16:14:00,The Body Shop,beauty,219,Credit Card
2026-06-04 16:35:00,Uber,transportation,67,UPI
2026-06-05 09:42:00,Zomato,food_delivery,110,UPI
2026-06-05 10:01:00,Rapido,transportation,126,Credit Card
2026-06-05 10:22:00,Zomato,food_delivery,108,UPI
2026-06-05 10:34:00,Mamaearth,beauty,387,Credit Card
2026-06-05 13:20:00,Namma Metro,transportation,47,Net Banking
2026-06-05 14:15:00,BigBasket,groceries,281,Net Banking
2026-06-05 16:25:00,Spotify Premium,subscriptions,119,Credit Card
2026-06-05 18:11:00,Blinkit,groceries,208,UPI
2026-06-05 18:43:00,Blinkit,groceries,207,UPI
2026-06-06 09:39:00,Uber,transportation,82,Debit Card
2026-06-06 20:15:00,INOX,entertainment,199,UPI
2026-06-06 22:17:00,Box8,food_delivery,99,Credit Card
2026-06-06 22:56:00,Behrouz Biryani,food_delivery,99,UPI
2026-06-07 00:30:00,Behrouz Biryani,food_delivery,139,UPI
2026-06-07 08:18:00,Swiggy,food_delivery,96,Debit Card
2026-06-07 09:07:00,PVR Cinemas,entertainment,246,Credit Card
2026-06-07 10:17:00,BigBasket,groceries,96,Net Banking
2026-06-07 12:06:00,Ola,transportation,113,Debit Card
2026-06-08 01:21:00,Zomato,food_delivery,72,Debit Card
2026-06-08 08:55:00,Rapido,transportation,63,UPI
2026-06-08 10:41:00,iCloud+,subscriptions,75,Credit Card
2026-06-08 12:57:00,Domino's,food_delivery,81,UPI
2026-06-08 18:48:00,BigBasket,groceries,295,UPI
2026-06-08 19:34:00,Steam,entertainment,252,UPI
2026-06-08 20:06:00,Indian Oil Petrol Pump,transportation,96,UPI
2026-06-08 22:01:00,Behrouz Biryani,food_delivery,76,UPI
2026-06-08 22:17:00,BigBasket,groceries,194,UPI
2026-06-08 22:56:00,Ola,transportation,65,UPI
2026-06-09 01:19:00,Swiggy,food_delivery,117,Credit Card
2026-06-09 10:16:00,Blinkit,groceries,139,UPI
2026-06-09 10:18:00,Ola,transportation,121,UPI
2026-06-09 12:24:00,Zepto,groceries,249,UPI
2026-06-09 17:16:00,Nykaa,beauty,513,UPI
2026-06-09 22:06:00,Domino's,food_delivery,112,UPI
2026-06-09 22:49:00,Domino's,food_delivery,63,Credit Card
2026-06-10 00:33:00,Zomato,food_delivery,77,UPI
2026-06-10 17:03:00,Ajio,clothing,456,UPI
2026-06-10 20:37:00,IRCTC,travel,1083,Credit Card
2026-06-10 20:49:00,Instamart,groceries,118,Debit Card
2026-06-10 22:50:00,Box8,food_delivery,95,UPI
2026-06-10 23:05:00,Zomato,food_delivery,94,UPI
2026-06-11 11:29:00,Uber,transportation,103,UPI
2026-06-11 12:56:00,Steam,entertainment,213,Credit Card
2026-06-11 17:42:00,Indian Oil Petrol Pump,transportation,48,UPI
2026-06-11 19:37:00,Instamart,groceries,229,UPI
2026-06-11 19:55:00,Uber,transportation,66,Debit Card
2026-06-12 01:28:00,Swiggy,food_delivery,103,Credit Card
2026-06-12 01:46:00,Box8,food_delivery,114,UPI
2026-06-12 08:42:00,Ajio,clothing,969,Net Banking
2026-06-12 10:00:00,Uber,transportation,89,UPI
2026-06-12 14:17:00,Domino's,food_delivery,90,UPI
2026-06-12 14:50:00,Amazon Prime,subscriptions,299,Credit Card
2026-06-12 16:21:00,Uber,transportation,142,UPI
2026-06-12 16:25:00,Swiggy,food_delivery,71,UPI
2026-06-12 21:45:00,Uber,transportation,76,Credit Card
2026-06-12 21:46:00,Uber,transportation,51,UPI
2026-06-12 21:47:00,INOX,entertainment,272,UPI
2026-06-13 00:29:00,Box8,food_delivery,75,Credit Card
2026-06-13 01:45:00,Zomato,food_delivery,77,UPI
2026-06-13 08:27:00,BookMyShow,entertainment,317,UPI
2026-06-13 17:00:00,Blinkit,groceries,91,UPI
2026-06-13 17:36:00,MakeMyTrip,travel,909,Debit Card
2026-06-13 19:36:00,Box8,food_delivery,109,UPI
2026-06-13 20:47:00,Uber,transportation,55,UPI
2026-06-13 20:49:00,Box8,food_delivery,134,Debit Card
2026-06-13 22:14:00,BookMyShow,entertainment,285,Debit Card
2026-06-14 01:02:00,Domino's,food_delivery,99,UPI
2026-06-14 11:20:00,Nykaa,beauty,365,Credit Card
2026-06-14 12:25:00,INOX,entertainment,154,Credit Card
2026-06-14 14:34:00,DMart,groceries,171,Credit Card
2026-06-14 14:57:00,Box8,food_delivery,101,UPI
2026-06-14 17:18:00,Rapido,transportation,98,Credit Card
2026-06-14 17:31:00,Steam,entertainment,133,UPI
2026-06-14 18:44:00,Croma,electronics,9393,UPI
2026-06-14 22:07:00,The Body Shop,beauty,211,UPI
2026-06-14 22:27:00,Rapido,transportation,54,UPI
2026-06-14 23:35:00,Behrouz Biryani,food_delivery,82,UPI
2026-06-15 00:21:00,Behrouz Biryani,food_delivery,100,Net Banking
2026-06-15 01:03:00,Domino's,food_delivery,92,Debit Card
2026-06-15 08:41:00,Indian Oil Petrol Pump,transportation,121,UPI
2026-06-15 10:06:00,Box8,food_delivery,61,UPI
2026-06-15 10:24:00,INOX,entertainment,140,Net Banking
2026-06-15 12:10:00,Mamaearth,beauty,224,Debit Card
2026-06-15 13:00:00,Ajio,clothing,634,UPI
2026-06-15 13:49:00,Purplle,beauty,192,UPI
2026-06-15 19:45:00,RedBus,travel,570,Credit Card
2026-06-15 20:58:00,Indian Oil Petrol Pump,transportation,123,UPI
2026-06-15 23:10:00,Zomato,food_delivery,79,UPI
2026-06-16 16:00:00,PlayStation Store,entertainment,204,UPI
2026-06-16 16:38:00,BigBasket,groceries,260,Credit Card
2026-06-17 08:19:00,Ola,transportation,57,UPI
2026-06-17 09:50:00,Instamart,groceries,245,UPI
2026-06-17 15:01:00,PlayStation Store,entertainment,126,Debit Card
2026-06-17 15:40:00,Blinkit,groceries,306,UPI
2026-06-18 00:55:00,Zomato,food_delivery,113,Credit Card
2026-06-18 08:10:00,Rapido,transportation,65,Credit Card
2026-06-18 11:05:00,YouTube Premium,subscriptions,149,Credit Card
2026-06-18 15:02:00,INOX,entertainment,327,Debit Card
2026-06-18 15:51:00,INOX,entertainment,157,UPI
2026-06-18 18:36:00,Zepto,groceries,417,Debit Card
2026-06-18 21:28:00,Airbnb,travel,874,Credit Card
2026-06-19 14:00:00,Uber,transportation,126,UPI
2026-06-19 17:05:00,H&M,clothing,734,Credit Card
2026-06-19 17:20:00,Namma Metro,transportation,110,UPI
2026-06-19 19:22:00,DMart,groceries,320,UPI
2026-06-19 19:42:00,Zomato,food_delivery,68,Credit Card
2026-06-19 19:50:00,Domino's,food_delivery,92,Net Banking
2026-06-19 21:14:00,Blinkit,groceries,329,UPI
2026-06-20 01:06:00,Domino's,food_delivery,92,UPI
2026-06-20 12:26:00,Instamart,groceries,246,UPI
2026-06-20 18:05:00,Blinkit,groceries,145,UPI
2026-06-20 20:37:00,Rapido,transportation,170,UPI
2026-06-20 20:41:00,Swiggy,food_delivery,98,Credit Card
2026-06-20 22:29:00,Urban Outfitters,clothing,704,UPI
2026-06-20 22:37:00,Swiggy,food_delivery,57,UPI
2026-06-21 09:18:00,PVR Cinemas,entertainment,241,UPI
2026-06-21 09:29:00,BigBasket,groceries,57,UPI
2026-06-21 11:15:00,Zomato,food_delivery,64,UPI
2026-06-21 12:08:00,Behrouz Biryani,food_delivery,86,UPI
2026-06-21 12:46:00,Instamart,groceries,371,UPI
2026-06-21 14:31:00,Domino's,food_delivery,115,UPI
2026-06-21 14:56:00,Namma Metro,transportation,81,Credit Card
2026-06-21 19:03:00,Domino's,food_delivery,68,Credit Card
2026-06-21 22:33:00,Domino's,food_delivery,126,Credit Card
2026-06-21 22:56:00,Urban Outfitters,clothing,325,UPI
2026-06-22 01:48:00,Zomato,food_delivery,55,UPI
2026-06-22 08:31:00,Zepto,groceries,344,UPI
2026-06-22 09:33:00,Uber,transportation,62,Credit Card
2026-06-22 10:08:00,Sephora,beauty,425,UPI
2026-06-22 12:15:00,Reliance Digital,electronics,1480,Debit Card
2026-06-22 17:04:00,Purplle,beauty,636,Debit Card
2026-06-23 00:09:00,Swiggy,food_delivery,83,Credit Card
2026-06-23 08:10:00,Behrouz Biryani,food_delivery,71,UPI
2026-06-23 08:32:00,IRCTC,travel,215,Credit Card
2026-06-23 14:31:00,Behrouz Biryani,food_delivery,129,Credit Card
2026-06-23 19:07:00,Ola,transportation,68,Credit Card
2026-06-23 22:20:00,Box8,food_delivery,99,Debit Card
2026-06-24 17:36:00,DMart,groceries,160,Credit Card
2026-06-24 18:45:00,Ajio,clothing,686,Credit Card
2026-06-25 13:27:00,DMart,groceries,275,Net Banking
2026-06-25 14:24:00,Zepto,groceries,225,UPI
2026-06-25 15:54:00,PVR Cinemas,entertainment,309,Credit Card
2026-06-25 22:53:00,Zomato,food_delivery,75,UPI
2026-06-26 01:28:00,Domino's,food_delivery,127,UPI
2026-06-26 08:35:00,Ola,transportation,75,Debit Card
2026-06-26 10:21:00,Nykaa,beauty,296,UPI
2026-06-26 11:57:00,Uber,transportation,36,UPI
2026-06-26 14:15:00,PVR Cinemas,entertainment,198,UPI
2026-06-26 20:29:00,DMart,groceries,318,UPI
2026-06-26 21:36:00,Indian Oil Petrol Pump,transportation,74,Credit Card
2026-06-26 22:39:00,BookMyShow,entertainment,241,UPI
2026-06-26 22:56:00,Swiggy,food_delivery,106,UPI
2026-06-27 01:49:00,Domino's,food_delivery,96,Credit Card
2026-06-27 10:00:00,Swiggy,food_delivery,137,UPI
2026-06-27 10:26:00,INOX,entertainment,157,Debit Card
2026-06-27 11:43:00,PlayStation Store,entertainment,99,Debit Card
2026-06-27 13:31:00,Mamaearth,beauty,349,UPI
2026-06-27 16:31:00,DMart,groceries,180,UPI
2026-06-27 19:02:00,Myntra,clothing,718,Debit Card
2026-06-27 19:17:00,BookMyShow,entertainment,264,UPI
2026-06-27 23:15:00,Swiggy,food_delivery,129,Debit Card
2026-06-27 23:51:00,Box8,food_delivery,89,Debit Card
2026-06-28 08:00:00,Behrouz Biryani,food_delivery,69,Credit Card
2026-06-28 12:23:00,IRCTC,travel,313,UPI
2026-06-28 12:37:00,DMart,groceries,204,UPI
2026-06-28 15:31:00,Zara,clothing,513,UPI
2026-06-28 16:02:00,Zepto,groceries,180,UPI
2026-06-28 17:37:00,Reliance Digital,electronics,1286,UPI
2026-06-28 20:21:00,MakeMyTrip,travel,1028,UPI
2026-06-29 09:27:00,Rapido,transportation,93,Net Banking
